"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030221","20122013","P",2013-05-16,"3","6",2,3,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030222","20122013","P",2013-05-19,"3","6",2,5,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030223","20122013","P",2013-05-21,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030224","20122013","P",2013-05-23,"6","3",3,4,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030225","20122013","P",2013-05-25,"3","6",1,3,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014030411","20142015","P",2015-06-04,"16","14",2,1,"away win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014030412","20142015","P",2015-06-06,"16","14",3,4,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014030413","20142015","P",2015-06-09,"14","16",3,2,"away win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014030414","20142015","P",2015-06-11,"14","16",1,2,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014030415","20142015","P",2015-06-14,"16","14",2,1,"away win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014030416","20142015","P",2015-06-16,"14","16",0,2,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012020577","20122013","R",2013-04-08,"12","6",2,6,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020050","20122013","R",2013-01-26,"2","6",2,4,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020524","20142015","R",2014-12-28,"16","21",5,2,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014021228","20142015","R",2015-04-12,"16","21",2,3,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020495","20142015","R",2014-12-22,"10","16",0,4,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021160","20142015","R",2015-04-03,"23","16",1,3,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020487","20142015","R",2014-12-21,"16","29",2,3,"home win SO","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020985","20142015","R",2015-03-08,"3","16",1,0,"away win OT","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012020154","20122013","R",2013-04-25,"14","6",0,2,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020592","20122013","R",2013-04-10,"10","3",2,3,"home win SO","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020128","20122013","R",2013-02-06,"3","1",1,3,"home win REG","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020714","20122013","R",2013-04-27,"1","3",0,4,"home win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020560","20142015","R",2015-01-03,"14","5",3,6,"home win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020578","20142015","R",2015-01-05,"14","9",4,2,"away win REG","left","Canadian Tire Centre","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020214","20142015","R",2014-11-09,"14","17",4,3,"away win SO","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2014020665","20142015","R",2015-01-18,"21","14",2,3,"home win SO","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020326","20142015","R",2014-11-27,"3","14",3,4,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020562","20122013","R",2013-04-06,"6","8",1,2,"home win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012020316","20122013","R",2013-03-04,"8","6",4,3,"away win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020058","20122013","R",2013-01-27,"10","3",2,5,"home win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020143","20122013","R",2013-02-08,"2","3",1,4,"home win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
